Текст;document_set;subject_type;complect_name;is_original;complect_id;GUID услуги;bo_processing;Доп. условие
zatavl;BN_DKBO0130;BANK;КОМПЛЕКТ. Заявление анкета клиента физического лица. БКС Банк (ЕВА);1;cгенерировать ID (одинаковый для двух строк);1;0;
zatavl;BN_DKBO0132;BANK;КОМПЛЕКТ. Заявление анкета клиента физического лица. БКС Банк (ЕВА);0;cгенерировать ID (одинаковый для двух строк);1;0;
AnketaBank;BN_DKBO0059;BANK;КОМПЛЕКТ. ИДС. Банк. Документы клиента ФЛ;1;cгенерировать ID (одинаковый для двух строк);1;1;
AnketaBank;BN_DKBO0048;BANK;КОМПЛЕКТ. ИДС. Банк. Документы клиента ФЛ;0;cгенерировать ID (одинаковый для двух строк);1;0;
kodslovo;BN_DKBO0076;BANK;КОМПЛЕКТ. Заявление на установление (изменение) кодового слова;1;cгенерировать ID;1;1;
raspiska;BN_DKBO0134 ;BANK;0;1;0;1;0;Сколько раз в Списке имен файлов встречается текст %raspiska%, столько строк создать в Реестре РК.
zayavlenie;EDO0042;EDO;КОМПЛЕКТ. ЕВА. Новая услуга. ДО. Документы клиента ФЛ (с полной идентификацией),;1;cгенерировать ID (одинаковый для двух строк);3;0;
zayavlenie;EDO0019;EDO;КОМПЛЕКТ. ЕВА. Новая услуга. ДО. Документы клиента ФЛ (с полной идентификацией),;0;cгенерировать ID (одинаковый для двух строк);3;0;
zayvlenieakcept;EDO0043;EDO;КОМПЛЕКТ. ИДС. ДО. Документы клиента ФЛ (полная идентификация);1;cгенерировать ID (одинаковый для двух строк);3;0;
zayvlenieakcept;EDO0019;EDO;КОМПЛЕКТ. ИДС. ДО. Документы клиента ФЛ (полная идентификация);0;;3;0;
AnketaBroker;BK1381;BROK;КОМПЛЕКТ. ИДС. Брокер. Документы клиента ФЛ (Единая Анкета клиента);1;cгенерировать ID (одинаковый для двух строк);2;0;
AnketaBroker;BK1444;BROK;КОМПЛЕКТ. ИДС. Брокер. Документы клиента ФЛ (Единая Анкета клиента);0;cгенерировать ID (одинаковый для двух строк);2;0;
AnketaDU;DU0107;DU;КОМПЛЕКТ. ИДС. ДУ УК. Документы клиента ФЛ;1;cгенерировать ID (одинаковый для двух строк);2;1;
AnketaDU;DU0080;DU;КОМПЛЕКТ. ИДС. ДУ УК. Документы клиента ФЛ;0;cгенерировать ID (одинаковый для двух строк);2;0;
anketa;BN_DKBO0390;BANK;0;1;0;1;0;
anketa;PD0075;BANK;0;0;0;1;0;
uvedomlenie1;PD0084;BANK;0;1;0;1;0;
uvedomlenie3;PD0084;BROK;0;1;0;2;0;
ZayavleniyeBanka;BN_DKBO0313;BANK;0;1;0;1;0;
ZayavleniyeKompaniya;PD0085;BROK;0;1;0;2;0;
uvedomlenie2;PD0084;BANK;0;1;0;1;0;
uvedomlenie4;PD0084;BROK;0;1;0;2;0;
uvedomlenie2;PD0084;BANK;0;1;0;1;0;
registration;BN_DKBO0064;BANK;0;1;0;;0;
registration;PD0085;BROK;0;1;0;;0;
pasport;;;;;;;;
passport;;;;;;;;
Zayavleniesoglasie;EDO0079;EDO;0;1;0;3;0;
Zayvlenieakceptsoglasie;EDO0079;EDO;0;1;0;3;0;
AnketaBrokersoglasie;BK1793;BROK;0;1;0;2;0;